-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  -6.9175   longitude 107.6191 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 921.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M
2015,1,1,20.57
2015,1,2,20.61
2015,1,3,20.57
2015,1,4,20.3
2015,1,5,20.89
2015,1,6,21.12
2015,1,7,21.55
2015,1,8,21.15
2015,1,9,20.58
2015,1,10,20.86
2015,1,11,20.53
2015,1,12,20.98
2015,1,13,20.4
2015,1,14,21.34
2015,1,15,21.43
2015,1,16,21.19
2015,1,17,21.03
2015,1,18,20.05
2015,1,19,20.03
2015,1,20,19.63
2015,1,21,19.41
2015,1,22,20.28
2015,1,23,20.91
2015,1,24,21.1
2015,1,25,20.95
2015,1,26,20.39
2015,1,27,21.47
2015,1,28,21.14
2015,1,29,21.94
2015,1,30,21.43
2015,1,31,20.78
2015,2,1,20.34
2015,2,2,21.31
2015,2,3,21.25
2015,2,4,21.49
2015,2,5,20.89
2015,2,6,21.07
2015,2,7,21.75
2015,2,8,20.78
2015,2,9,21.4
2015,2,10,20.96
2015,2,11,21.47
2015,2,12,21.0
2015,2,13,20.83
2015,2,14,20.47
2015,2,15,21.36
2015,2,16,21.6
2015,2,17,21.28
2015,2,18,20.98
2015,2,19,20.4
2015,2,20,20.52
2015,2,21,21.12
2015,2,22,22.28
2015,2,23,21.84
2015,2,24,21.79
2015,2,25,21.82
2015,2,26,22.21
2015,2,27,22.42
2015,2,28,22.23
2015,3,1,21.55
2015,3,2,21.33
2015,3,3,20.44
2015,3,4,20.03
2015,3,5,19.93
2015,3,6,19.6
2015,3,7,19.7
2015,3,8,19.73
2015,3,9,20.59
2015,3,10,20.66
2015,3,11,20.35
2015,3,12,20.41
2015,3,13,21.34
2015,3,14,21.12
2015,3,15,21.34
2015,3,16,21.01
2015,3,17,21.68
2015,3,18,22.67
2015,3,19,22.58
2015,3,20,22.32
2015,3,21,21.6
2015,3,22,21.24
2015,3,23,22.45
2015,3,24,21.97
2015,3,25,21.96
2015,3,26,21.85
2015,3,27,22.51
2015,3,28,22.45
2015,3,29,21.98
2015,3,30,22.68
2015,3,31,22.73
2015,4,1,21.83
2015,4,2,21.83
2015,4,3,22.34
2015,4,4,22.29
2015,4,5,22.18
2015,4,6,21.38
2015,4,7,21.44
2015,4,8,21.78
2015,4,9,21.79
2015,4,10,22.53
2015,4,11,22.38
2015,4,12,21.81
2015,4,13,21.09
2015,4,14,21.49
2015,4,15,21.93
2015,4,16,21.57
2015,4,17,21.59
2015,4,18,20.76
2015,4,19,21.58
2015,4,20,21.86
2015,4,21,21.85
2015,4,22,21.47
2015,4,23,21.05
2015,4,24,20.55
2015,4,25,20.11
2015,4,26,20.97
2015,4,27,21.05
2015,4,28,21.5
2015,4,29,21.64
2015,4,30,21.78
2015,5,1,21.52
2015,5,2,20.5
2015,5,3,20.56
2015,5,4,20.98
2015,5,5,21.7
2015,5,6,21.85
2015,5,7,21.9
2015,5,8,21.45
2015,5,9,21.24
2015,5,10,21.73
2015,5,11,21.75
2015,5,12,22.67
2015,5,13,22.73
2015,5,14,22.45
2015,5,15,21.94
2015,5,16,22.44
2015,5,17,22.02
2015,5,18,21.42
2015,5,19,21.2
2015,5,20,20.62
2015,5,21,19.85
2015,5,22,20.48
2015,5,23,20.52
2015,5,24,21.0
2015,5,25,21.76
2015,5,26,22.05
2015,5,27,21.58
2015,5,28,22.03
2015,5,29,22.0
2015,5,30,21.06
2015,5,31,21.96
2015,6,1,22.29
2015,6,2,21.96
2015,6,3,22.03
2015,6,4,21.74
2015,6,5,22.2
2015,6,6,22.15
2015,6,7,21.69
2015,6,8,21.56
2015,6,9,21.05
2015,6,10,21.44
2015,6,11,21.96
2015,6,12,21.17
2015,6,13,20.61
2015,6,14,20.8
2015,6,15,20.58
2015,6,16,20.41
2015,6,17,20.31
2015,6,18,20.57
2015,6,19,20.2
2015,6,20,20.15
2015,6,21,20.57
2015,6,22,19.99
2015,6,23,19.66
2015,6,24,19.16
2015,6,25,19.51
2015,6,26,19.73
2015,6,27,20.48
2015,6,28,20.87
2015,6,29,20.35
2015,6,30,20.29
2015,7,1,20.23
2015,7,2,19.91
2015,7,3,19.42
2015,7,4,19.39
2015,7,5,19.36
2015,7,6,19.53
2015,7,7,20.09
2015,7,8,20.45
2015,7,9,20.23
2015,7,10,19.79
2015,7,11,20.36
2015,7,12,20.55
2015,7,13,21.31
2015,7,14,21.2
2015,7,15,21.14
2015,7,16,20.68
2015,7,17,20.17
2015,7,18,20.31
2015,7,19,20.33
2015,7,20,20.89
2015,7,21,20.86
2015,7,22,20.3
2015,7,23,20.32
2015,7,24,20.77
2015,7,25,21.11
2015,7,26,20.61
2015,7,27,20.45
2015,7,28,20.5
2015,7,29,20.51
2015,7,30,20.8
2015,7,31,21.22
2015,8,1,21.11
2015,8,2,19.51
2015,8,3,19.0
2015,8,4,19.28
2015,8,5,19.7
2015,8,6,19.97
2015,8,7,20.42
2015,8,8,20.42
2015,8,9,20.45
2015,8,10,20.96
2015,8,11,21.06
2015,8,12,21.38
2015,8,13,21.51
2015,8,14,21.15
2015,8,15,21.26
2015,8,16,21.09
2015,8,17,20.59
2015,8,18,20.46
2015,8,19,20.61
2015,8,20,20.08
2015,8,21,19.41
2015,8,22,19.35
2015,8,23,19.55
2015,8,24,20.47
2015,8,25,20.9
2015,8,26,21.01
2015,8,27,21.13
2015,8,28,21.11
2015,8,29,20.33
2015,8,30,20.3
2015,8,31,20.42
2015,9,1,20.54
2015,9,2,20.24
2015,9,3,20.69
2015,9,4,20.88
2015,9,5,19.97
2015,9,6,20.28
2015,9,7,20.77
2015,9,8,21.21
2015,9,9,20.74
2015,9,10,20.45
2015,9,11,20.59
2015,9,12,21.07
2015,9,13,21.03
2015,9,14,20.58
2015,9,15,20.69
2015,9,16,21.0
2015,9,17,21.55
2015,9,18,21.59
2015,9,19,21.54
2015,9,20,21.97
2015,9,21,22.34
2015,9,22,22.23
2015,9,23,21.84
2015,9,24,21.62
2015,9,25,20.99
2015,9,26,21.22
2015,9,27,21.66
2015,9,28,21.3
2015,9,29,22.24
2015,9,30,22.13
2015,10,1,22.13
2015,10,2,22.18
2015,10,3,22.19
2015,10,4,21.87
2015,10,5,21.87
